Q1.AI_knowledge,Q7.Utility_grade,Q16.GPA,Cluster,Cluster_Name
8,9,9.2,3,H4
7,6,7.7,1,H2
5,6,7.2,1,H2
5,9,8.2,2,H3
4,8,7.7,2,H3
5,6,7.7,1,H2
7,10,7.2,4,H5
6,8,6.7,4,H5
6,8,7.7,4,H5
4,7,8.2,2,H3
4,10,7.7,2,H3
6,4,7.7,1,H2
9,10,9.7,3,H4
9,9,9.2,3,H4
7,10,9.2,3,H4
6,4,8.2,1,H2
1,3,6.2,0,H1
8,8,9.2,3,H4
7,6,7.7,1,H2
6,6,8.7,1,H2
6,8,7.2,4,H5
7,4,8.7,1,H2
7,7,7.7,1,H2
5,7,9.2,2,H3
4,6,7.2,1,H2
5,8,8.7,2,H3
7,9,8.2,3,H4
3,7,8.7,2,H3
6,10,7.7,4,H5
5,4,7.7,1,H2
5,7,7.7,1,H2
6,6,7.7,1,H2
5,5,7.7,1,H2
7,4,7.2,1,H2
6,7,6.2,1,H2
8,9,7.2,4,H5
10,9,6.7,4,H5
8,10,7.7,4,H5
7,7,7.7,1,H2
7,8,7.7,4,H5
7,7,6.2,1,H2
5,8,8.2,2,H3
8,9,8.7,3,H4
5,9,7.7,2,H3
6,10,7.7,4,H5
3,10,6.7,2,H3
8,3,7.2,1,H2
7,10,7.7,4,H5
9,10,7.7,4,H5
7,8,7.2,4,H5
3,8,7.7,2,H3
4,5,6.2,0,H1
7,6,9.2,1,H2
5,9,7.7,2,H3
5,7,7.2,1,H2
6,10,7.2,4,H5
5,8,9.2,2,H3
8,8,7.7,4,H5
4,10,9.7,2,H3
5,10,7.7,2,H3
6,10,9.7,2,H3
4,10,8.2,2,H3
8,9,9.2,3,H4
6,6,7.7,1,H2
7,8,9.2,3,H4
5,3,7.7,1,H2
8,6,7.7,1,H2
1,10,7.2,2,H3
6,9,8.7,3,H4
4,6,7.7,1,H2
9,10,6.7,4,H5
10,10,8.7,3,H4
8,10,9.2,3,H4
6,5,8.7,1,H2
5,5,8.2,1,H2
4,7,5.7,0,H1
7,10,8.7,3,H4
4,8,8.7,2,H3
4,7,7.2,1,H2
8,8,7.7,4,H5
8,8,7.2,4,H5
3,3,5.7,0,H1
7,8,7.7,4,H5
5,7,6.7,1,H2
6,6,8.2,1,H2
1,6,5.7,0,H1
8,7,7.2,4,H5
6,7,8.7,1,H2
9,10,6.2,4,H5
2,2,8.7,1,H2
2,2,5.2,0,H1
